T[s],control_rtti[dBm],uptime_min[min],batt_v[V],unb_v[V]
-20.50,-38,15300,21.87,7.07
-20.00,-40,15300,21.87,7.05
-18.20,-38,15300,21.87,7.07
-15.90,-38,15300,21.85,7.07
-15.30,-38,15300,21.85,7.05
-13.90,-38,15300,21.85,7.05
-13.50,-38,15300,21.85,7.05
-12.90,-38,15300,21.85,7.05
-12.60,-39,15300,21.85,7.05
-12.00,-38,15300,21.85,7.05
-11.10,-38,15300,21.85,7.05
-10.70,-38,15300,21.85,7.05
-10.20,-39,15300,21.83,7.05
-9.30,-38,15300,21.83,7.05
-8.30,-38,15300,21.83,7.05
-7.90,-38,15300,21.64,7.03
-7.40,-38,15300,21.64,7.03
-5.50,-38,15300,21.58,7.03
-4.60,-39,15300,21.28,7.01
-3.30,-38,15300,21.69,7.05
-1.00,-38,15300,21.73,7.05
0.00,-38,15300,21.73,7.05
0.80,-38,15300,21.73,7.05
1.40,-38,15300,21.73,7.05
2.70,-38,15300,21.62,1.89
3.70,-42,15300,21.54,1.87
5.10,-36,15300,21.48,1.89
6.40,-40,15300,21.48,1.89
6.91,-42,15300,21.48,1.89
7.40,-42,15300,21.48,1.89
7.90,-38,15300,21.42,1.87
8.80,-32,15300,21.40,1.87
9.40,-32,15300,21.40,1.87
9.80,-34,15300,21.38,1.87
10.10,-36,15300,21.38,1.87
10.70,-33,15300,21.36,1.87
11.10,-31,15300,21.36,1.87
12.00,-33,15300,21.34,1.85
13.50,-34,15300,21.38,1.87
13.80,-37,15300,21.32,1.87
14.40,-36,15300,21.32,1.87
14.90,-35,15300,21.34,1.85
15.80,-32,15300,21.25,1.85
16.70,-28,15300,21.28,1.87
19.10,-33,15300,21.25,1.83
19.50,-30,15300,21.25,1.83
20.01,-30,15300,21.23,1.87
20.40,-29,15300,21.23,1.87
22.30,-34,15300,21.19,1.85
22.81,-39,15300,21.25,1.87
23.20,-44,15300,21.25,1.87
23.70,-67,15300,21.21,1.85
26.90,-31,15300,21.21,1.87
28.41,-30,15300,21.21,1.87
29.80,-29,15300,21.13,1.85
31.50,-32,15300,21.21,1.87
32.10,-34,15300,21.09,1.85
32.50,-33,15300,21.09,1.85
33.40,-30,15300,21.13,1.87
33.90,-30,15300,21.05,1.83
34.40,-31,15300,21.05,1.83
35.30,-31,15300,21.07,1.87
37.10,-36,15300,21.11,1.87
39.50,-37,15300,21.07,1.85
41.80,-38,15300,21.09,1.87
42.20,-40,15300,21.09,1.87
46.00,-43,15300,21.09,1.89
48.70,-44,15300,21.05,1.87
51.10,-48,15300,21.05,1.87
51.60,-46,15300,21.05,1.87
52.90,-46,15300,21.03,1.87
54.30,-53,15300,20.99,1.87
55.80,-49,15300,21.01,1.89
57.10,-49,15300,20.97,1.87
59.90,-64,15300,20.82,1.87
