T[s],encoder_a[enc],encoder_b[enc],target_a[enc],target_b[enc]
-21.00,6,7,0,0
-20.70,6,7,0,0
-20.09,6,7,0,0
-19.10,6,7,0,0
-17.30,6,7,0,0
-16.80,6,7,0,0
-16.40,6,7,0,0
-16.00,6,7,0,0
-15.40,6,7,0,0
-15.00,6,7,0,0
-14.70,6,7,0,0
-14.10,6,7,0,0
-13.60,6,7,0,0
-11.80,6,7,0,0
-11.30,6,7,0,0
-11.00,6,7,0,0
-10.40,6,7,0,0
-9.90,6,7,0,0
-9.40,6,7,0,0
-9.00,133,-140,0,0
-8.00,429,-429,0,0
-7.60,312,-258,0,0
-7.10,117,-75,0,0
-6.70,-60,106,0,0
-6.20,-201,161,0,0
-5.70,-14,19,0,0
-4.80,-20,17,0,0
-3.50,-20,18,0,0
-2.40,-20,18,0,0
-2.00,-20,18,0,0
-1.70,-20,18,0,0
-0.70,-19,17,0,0
-0.10,-19,17,0,0
1.20,-16,12,5,19
2.20,86,9,108,-1
3.00,137,-2,140,-12
3.60,127,-8,137,0
4.90,118,2,132,13
5.40,116,-5,112,-16
5.90,108,-18,116,-21
7.30,116,-15,112,-5
8.20,110,-11,121,-2
8.60,109,-8,129,-12
10.00,116,-5,125,9
10.50,119,-6,123,-14
11.00,118,-5,131,-22
11.40,116,-9,132,-5
12.30,114,4,118,-22
12.90,115,-6,124,-33
13.70,104,2,108,-14
14.20,97,37,92,1
14.70,82,42,87,44
15.60,126,57,147,29
16.00,121,13,128,-4
16.60,103,3,113,-11
17.00,117,5,141,-8
18.40,117,-13,119,-28
22.10,120,-2,136,-18
23.10,102,5,106,15
23.50,96,24,100,25
24.40,94,23,100,17
26.30,81,8,114,1
28.70,133,-18,152,-22
29.01,140,-16,159,-4
31.40,128,30,131,11
31.91,115,41,122,13
32.40,104,52,113,22
33.70,104,41,135,22
34.30,119,38,140,13
34.60,115,18,127,-7
35.10,122,-3,114,-23
37.40,129,-28,133,-33
38.00,131,-11,139,-4
38.80,163,8,170,-37
40.30,161,27,175,-14
41.70,184,56,188,43
44.90,97,68,114,17
45.40,94,44,99,9
46.30,50,29,62,-5
48.10,39,-25,51,-62
52.31,291,-47,318,-74
55.10,419,-80,407,-127
55.60,471,-34,492,-84
57.00,445,5,461,-36
59.40,669,-8,697,-104
60.70,587,84,608,57
62.00,704,142,752,86
63.50,623,41,595,29
